psyched|206013|14768309088
institution|10635635|14768309088
commercial|6136742|14768309088
unemployment|495060|14768309088
vengeance|136736|14768309088
prominent|1028475|14768309088
hindered|164472|14768309088
0f|48700|14768309088
10|47618863|14768309088
100|11065972|14768309088
1024x768|164047|14768309088
10pt|20613|14768309088
12|36849922|14768309088
125|1033826|14768309088
12v|111840|14768309088
13|21095405|14768309088
130|910043|14768309088
14|20677363|14768309088
15|24183535|14768309088
150|2001505|14768309088
16|20618021|14768309088
17|18395712|14768309088
18|19827523|14768309088
19|16626113|14768309088
1960|2043660|14768309088
1st|3263332|14768309088
20|23918114|14768309088
20's|0|14768309088
2004|16363010|14768309088
21|15962479|14768309088
22|15659989|14768309088
23|14379985|14768309088
24|16926828|14768309088
25|16484626|14768309088
2500|317869|14768309088
27|12166614|14768309088
28|12420619|14768309088
2me|1334|14768309088
2nd|2866018|14768309088
30|22363604|14768309088
30's|0|14768309088
33|4998241|14768309088
35|5627809|14768309088
360|1877771|14768309088
375|283815|14768309088
3rd|2254858|14768309088
40|8094750|14768309088
40's|0|14768309088
430|223750|14768309088
44|4608091|14768309088
45|5528051|14768309088
49|3790420|14768309088
50|11025993|14768309088
50's|0|14768309088
5feet|355|14768309088
60|5259724|14768309088
60's|0|14768309088
6volt|515|14768309088
70|3570951|14768309088
70's|0|14768309088
770|268767|14768309088
779|82857|14768309088
80|4100099|14768309088
800|4103899|14768309088
800x600|103296|14768309088
90210|80631|14768309088
95|2142591|14768309088
99|2179177|14768309088
9th|996047|14768309088
abcesse|3204|14768309088
abcrombie|10|14768309088
abercrombie|78987|14768309088
ability|3823596|14768309088
able|6513838|14768309088
about|90853710|14768309088
absolutely|2171806|14768309088
abuse|3198900|14768309088
abused|3198900|14768309088
abusive|3198900|14768309088
accept|6366215|14768309088
acceptable|6366215|14768309088
accepted|6366215|14768309088
access|15126370|14768309088
accidentally|526414|14768309088
accommodate|3519306|14768309088
according|6527648|14768309088
account|20032708|14768309088
accountability|20032708|14768309088
accully|4|14768309088
accurate|1705984|14768309088
ace|2479144|14768309088
achieve|4177096|14768309088
act|9216159|14768309088
acting|9216159|14768309088
action|9914617|14768309088
active|16895753|14768309088
actively|16895753|14768309088
actual|6372367|14768309088
actually|6372367|14768309088
actully|1489|14768309088
ad|17623712|14768309088
adam|2687412|14768309088
add|18148395|14768309088
addicted|1642007|14768309088
additional|11251581|14768309088
additute|3|14768309088
address|13442502|14768309088
addressed|13442502|14768309088
adequate|673543|14768309088
adjusting|2278204|14768309088
admin|1601945|14768309088
administrator|7980546|14768309088
admit|1308089|14768309088
admitted|1308089|14768309088
adolescence|636198|14768309088
adopt|3873853|14768309088
adopted|3873853|14768309088
adult|6045100|14768309088
advance|10094522|14768309088
advanced|10094522|14768309088
advantage|2780595|14768309088
adversity|505543|14768309088
advice|4113716|14768309088
ae|378223|14768309088
aeropostale|7134|14768309088
affair|3049150|14768309088
afford|2017145|14768309088
afraid|623844|14768309088
after|26763644|14768309088
age|13606422|14768309088
aggressive|861655|14768309088
aging|13606422|14768309088
agnostic|74008|14768309088
ago|10048315|14768309088
agree|4176187|14768309088
agreement|4587619|14768309088
aguilera|251448|14768309088
ahead|1587002|14768309088
ahg|3431|14768309088
ahold|11035|14768309088
aimed|2779977|14768309088
ain't|452954|14768309088
aint|95256|14768309088
airtight|29868|14768309088
aka|865606|14768309088
al|10137724|14768309088
alarming|1115553|14768309088
album|8615654|14768309088
alcohol|2278877|14768309088
alergy|2345|14768309088
alie|1077609|14768309088
alive|1152935|14768309088
all|110480030|14768309088
allergy|940881|14768309088
allexpert|18787|14768309088
allow|11252114|14768309088
allowed|11252114|14768309088
alloy|421759|14768309088
almond|267098|14768309088
almost|4494799|14768309088
alot|221024|14768309088
alright|194558|14768309088
also|48092409|14768309088
alternative|5855885|14768309088
alternator|5855885|14768309088
although|5963257|14768309088
altruism|32842|14768309088
alway|8064131|14768309088
always|8064131|14768309088
amazing|2459271|14768309088
amazingly|124814|14768309088
america|11259360|14768309088
american|22009075|14768309088
amit|74324|14768309088
amount|4348570|14768309088
amout|2037|14768309088
amp|5361957|14768309088
amt|84199|14768309088
amusement|651257|14768309088
an|369666|14768309088
anarchist|278558|14768309088
and|170915|14768309088
anemic|18219|14768309088
anger|674627|14768309088
angiotensin|31503|14768309088
animal|13996827|14768309088
annoyed|423163|14768309088
annoying|423163|14768309088
another|11981697|14768309088
answer|6971316|14768309088
answered|6971316|14768309088
answerer|6971316|14768309088
answering|6971316|14768309088
anti|4121460|14768309088
antique|1921318|14768309088
anxiety|840865|14768309088
any|36430609|14768309088
any1|7766|14768309088
anymore|584220|14768309088
anytime|525242|14768309088
anyway|1185245|14768309088
apartment|4913973|14768309088
apna|10905|14768309088
apparently|1689097|14768309088
appear|9731251|14768309088
